"","radius","emddim","delay","filename","opt_dim","opt_delay","opt_rad"
"1",NA,NA,NA,"Study1D0S101T1_f0.txt",5,36,15.3462030670712
"2",NA,NA,NA,"Study1D0S101T10_f0.txt",5,36,15.3462030670712
"3",5.71778888907858,3,35,"Study1D0S101T2_f0.txt",5,36,15.3462030670712
"4",NA,NA,NA,"Study1D0S101T3_f0.txt",5,36,15.3462030670712
"5",7.9435542144305,4,35,"Study1D0S101T4_f0.txt",5,36,15.3462030670712
"6",7.5264557011784,3,40,"Study1D0S101T5_f0.txt",5,36,15.3462030670712
"7",12.3824487411124,4,21,"Study1D0S101T6_f0.txt",5,36,15.3462030670712
"8",13.387109701422,3,25,"Study1D0S101T7_f0.txt",5,36,15.3462030670712
"9",NA,NA,NA,"Study1D0S101T8_f0.txt",5,36,15.3462030670712
"10",13.2895287431875,7,49,"Study1D0S101T9_f0.txt",5,36,15.3462030670712
"11",25.4718285312528,7,26,"Study1D0S102T1_f0.txt",5,36,15.3462030670712
"12",10.2215296429414,5,35,"Study1D0S102T10_f0.txt",5,36,15.3462030670712
"13",14.2011597989006,4,37,"Study1D0S102T2_f0.txt",5,36,15.3462030670712
"14",18.2272100644881,5,40,"Study1D0S102T3_f0.txt",5,36,15.3462030670712
"15",16.5483999468711,4,28,"Study1D0S102T4_f0.txt",5,36,15.3462030670712
"16",11.7340455703047,4,23,"Study1D0S102T5_f0.txt",5,36,15.3462030670712
"17",20.1782708228096,6,49,"Study1D0S102T6_f0.txt",5,36,15.3462030670712
"18",21.4974860639909,5,35,"Study1D0S102T7_f0.txt",5,36,15.3462030670712
"19",16.2458165189291,7,48,"Study1D0S102T8_f0.txt",5,36,15.3462030670712
"20",33.8812887724228,8,42,"Study1D0S102T9_f0.txt",5,36,15.3462030670712
"21",22.5967971294087,5,30,"Study1D0S103T1_f0.txt",5,36,15.3462030670712
"22",9.01945441944609,3,40,"Study1D0S103T10_f0.txt",5,36,15.3462030670712
"23",25.7608446911857,8,45,"Study1D0S103T2_f0.txt",5,36,15.3462030670712
"24",6.33893882731322,3,45,"Study1D0S103T3_f0.txt",5,36,15.3462030670712
"25",10.6978173515401,3,37,"Study1D0S103T4_f0.txt",5,36,15.3462030670712
"26",17.7583894311321,6,25,"Study1D0S103T5_f0.txt",5,36,15.3462030670712
"27",27.5788922792778,5,45,"Study1D0S103T6_f0.txt",5,36,15.3462030670712
"28",19.0225508375409,4,22,"Study1D0S103T7_f0.txt",5,36,15.3462030670712
"29",NA,NA,NA,"Study1D0S103T8_f0.txt",5,36,15.3462030670712
"30",35.3618945826725,8,30,"Study1D0S103T9_f0.txt",5,36,15.3462030670712
"31",8.79108692264786,6,23,"Study1D0S104T1_f0.txt",5,36,15.3462030670712
"32",NA,NA,NA,"Study1D0S104T10_f0.txt",5,36,15.3462030670712
"33",3.83191346098148,6,28,"Study1D0S104T2_f0.txt",5,36,15.3462030670712
"34",11.8621631301858,7,29,"Study1D0S104T3_f0.txt",5,36,15.3462030670712
"35",10.6359252194597,4,26,"Study1D0S104T4_f0.txt",5,36,15.3462030670712
